function,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_100,JUN_110,JUN_130,AUG_100,AUG_110,AUG_130,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
K15449,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K15495,156,283,33,1,75,55,5,2,26,0,2,5,3,6,7,3,20,10
K15496,156,283,33,1,75,55,5,2,26,0,2,5,3,6,7,3,20,10
K15497,156,283,33,1,75,55,5,2,26,0,2,5,3,6,7,3,20,10
K15634,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K15635,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K15736,5023,9817,11227,6243,6056,10365,7894,3986,6480,3740,3730,5578,15415,9852,12363,8939,18020,6526
K15778,13662,26620,29447,19341,17434,28745,18083,9588,17209,8408,8566,13218,36273,24687,31333,21137,42652,16284
K15888,8244,16033,15519,10382,8912,14540,9143,4854,9136,4257,4374,6886,18592,12925,16795,10838,22554,8333
K15894,291,556,339,92,41,61,202,85,109,90,77,29,327,107,169,163,428,37
K15904,5490,10594,3140,2829,374,251,398,236,2065,210,361,1102,1818,2315,4504,1072,4879,705
K15916,12454,24284,23716,13814,12228,20773,15814,8019,13897,7508,7568,11679,31459,20767,26837,18272,38109,13365
K15977,9817,19159,22243,12425,12106,20704,15667,7929,12868,7435,7398,11145,30671,19644,24648,17785,35785,13037
K15987,7699,14993,12792,7665,6374,10649,8095,4106,7530,3846,3911,6128,16324,11012,14616,9478,20463,6899
K16264,23,31,37,6,3,0,27,12,7,13,4,2,47,11,27,18,57,1
K16306,8238,16020,15512,10382,8909,14536,9140,4852,9123,4257,4373,6885,18591,12922,16792,10835,22547,8332
K16317,2820,5432,1583,1415,223,151,200,118,1039,105,181,553,910,1159,2254,536,2446,357
K16318,0,1,1,8,164,180,0,0,11,1,0,0,0,1,0,0,3,24
K16785,156,284,34,9,239,235,5,2,37,1,2,5,3,7,7,3,23,34
K16786,0,1,1,8,164,180,0,0,11,1,0,0,0,1,0,0,3,24
K16787,156,284,34,9,239,235,5,2,37,1,2,5,3,7,7,3,23,34
