function,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_75,JUN_90,JUN_100,JUN_110,JUN_130,JUN_160,AUG_75,AUG_90,AUG_100,AUG_110,AUG_130,AUG_160,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
K08930,0,0,0,0,0,0,0,0,0,0,0,0,51,6,195,36,0,3,0,0,0,0,0,0
K08939,0,0,0,0,0,0,0,0,0,0,0,0,51,6,195,36,0,3,0,0,0,0,0,0
K08963,2565.2,2249.66,3172.66,5839.7,6735.5,4473.5,2981,2456.66,2293.66,2928.66,4388.66,3920.5,1425,1098.06,1447.2,1874,4301.7,1195.06,2304.16,2651.59,5080.84,3337.91,2151.25,4067.16
K08964,171.5,164.33,572.33,2457,1644.5,765.5,367,399.33,349.83,511.83,1667.83,2491,151,126.33,208,592,2307.5,153.83,171.83,873.42,1006.67,525.08,148.75,2594.83
K08967,131.5,125.33,162.33,294,56.5,22.5,246,275.33,235.83,315.83,316.83,88,137,105.33,155,231,452.5,7.83,137.83,233.42,467.67,433.08,154.75,97.83
K08972,1092.5,914.33,386.33,417.33,1872.5,1217.83,605.33,918.83,640.17,886.17,394.67,255.33,366,295,415.17,361.33,434.33,592.5,591.83,303,853,632,631.17,380.5
K08973,14179.7,12589.16,12143.16,15275.28,11995.25,6498.33,10135.83,9273.91,11933,10420.5,21326.5,13737.58,6452,4841.98,6670.87,7206.58,16327.28,2252.23,9521.66,10809.92,18420.17,11804.58,8333.42,11709.58
K08974,2056.5,1788.33,1485.83,2269.83,2707.5,1650.83,1611.33,1685.33,1301.17,1862.67,1622.67,447.83,657,465,592.67,739.33,1158.33,501,1064.33,1023.25,2344.5,1505.25,1251.92,711.5
K08975,10,9,13,4,1,0,23,13,6,8,2,0,3,3,4,5,2,0,18,5,9,12,5,0
K08976,1782,1442.33,646.33,449.58,225.75,149.33,1249.83,1525.58,1184.17,1581.67,933.67,1320.58,614,459.75,595.67,489.58,729.58,1082,1072.33,571,1565,1328.5,1153.67,521.75
K08977,353.5,353,321,224.5,338,216,359,320.5,299,403,483,60.5,198.5,159,195,148,148,99,427,264,825,476.5,282.5,97.5
K08978,5.2,3,8,1.2,0,0,10,6,9,9,21,1,78,14.4,148.2,24,10.2,2.4,2,0,0,4,0,0
K08979,10,9,13,4,1,0,23,13,6,8,2,0,3,3,4,5,2,0,18,5,9,12,5,0
K08981,179.5,134.49,75.49,108.83,25,9.33,89.83,123.49,90.33,145.83,57.33,6.33,68,39.16,133.17,124.33,57.33,12.66,121.99,89.84,226.84,380.16,144.67,18.16
K08982,0.5,0.83,4.33,20.75,71.25,23.5,4,11.58,13.33,28.83,255.33,1240.75,24,2.08,82.5,89.75,390.75,1052.83,6.33,31.67,24.67,11.83,2.5,367.08
K08983,90,90.5,54.5,52,6,3,62.5,55,62,79.5,84,10,41,28,49.5,37.5,37.5,1.5,56,72.5,104,80.5,63,19.5
K08984,43,42.33,121.83,352.75,672.75,499,202.5,244.58,206.83,278.83,515.83,1478.75,104,80.08,113,229.25,872.75,1167.83,86.83,196.17,386.17,369.33,90.5,626.08
K08987,264.5,192.33,37.83,15.83,5,3.33,42.33,78.83,46.17,54.67,18.67,4.83,84.5,33.5,181.17,109.83,35.83,9,25.83,20,59,52,76.67,5
K08988,13.7,15.5,17,28.95,72.25,24.5,21,18.25,25,41.5,262,1240.75,80,33.15,83.7,40.75,415.95,1195.9,27,35,36,34.5,13.5,365.75
K08989,53.2,57,61,11.2,2,0,26,39,20,29,18,0,108,67.4,114.2,54,91.2,299.4,22,10,28,26,23,3
