ASV,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_100,JUN_110,JUN_130,AUG_100,AUG_110,AUG_130,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
Zotu166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Zotu111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Zotu180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Zotu136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Zotu241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Zotu17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Zotu106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Zotu200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zotu73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Zotu64,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
Zotu112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Zotu226,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Zotu248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu249,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zotu88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu204,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
