"","APR_75","APR_90","APR_100","APR_110","APR_130","APR_160","JUN_75","JUN_90","JUN_100","JUN_110","JUN_130","JUN_160","AUG_75","AUG_90","AUG_100","AUG_110","AUG_130","AUG_160","OCT_75","OCT_90","OCT_100","OCT_110","OCT_130","OCT_160"
"BACT218",15,9,4,0,0,0,13,43,13,38,15,1,2,2,1,0,2,0,2,5,9,6,7,1
"BACT41",1,1,7,44,485,157,0,0,2,3,3,41,3,0,2,5,43,76,0,6,1,1,0,45
"BACT113",5,1,13,28,3,2,19,21,9,18,5,0,10,11,8,9,2,1,20,14,30,39,23,4
"BACT16",49,45,21,4,0,1,115,171,202,191,94,7,82,82,99,76,44,3,263,88,232,171,169,8
"BACT66",35,27,5,2,3,1,10,28,18,23,7,4,8,5,9,9,12,0,12,13,39,31,42,3
"BACT37",100,65,29,6,0,0,41,34,36,14,24,3,32,17,28,9,3,0,44,53,101,94,87,6
"BACT121",1,0,5,33,121,98,1,0,0,2,3,10,0,0,0,1,15,33,0,2,1,0,1,5
"BACT182",3,3,15,3,3,0,20,18,21,19,29,1,6,7,4,2,1,1,15,5,34,21,14,0
"BACT124",97,74,31,11,11,16,17,33,24,72,22,1,8,7,5,8,12,2,23,13,40,33,40,2
"BACT222",3,1,1,0,0,0,5,33,13,23,9,0,0,0,1,2,1,0,2,6,11,8,9,0
"BACT299",16,21,12,10,1,0,28,23,9,19,8,0,14,14,13,5,8,0,56,6,39,24,20,1
"BACT212",6,4,7,2,0,0,20,12,18,15,14,0,9,7,11,2,3,0,17,5,11,16,9,1
"BACT1970",3,4,11,2,0,0,11,11,18,8,10,1,6,5,7,6,1,0,12,4,20,9,5,0
"BACT23",8,13,9,2,0,0,9,8,12,8,5,0,2,2,2,3,1,0,0,6,9,12,5,0
"BACT126",1,1,18,103,173,167,4,0,1,2,4,19,0,1,1,6,48,35,1,10,8,2,0,10
"BACT387",8,14,8,24,12,7,9,9,10,2,8,3,3,5,3,2,3,1,3,8,11,5,2,1
"BACT57",98,83,29,7,0,1,49,35,33,36,36,3,13,14,11,15,4,0,24,9,52,31,36,0
"BACT216",5,3,8,1,0,0,10,6,9,9,21,1,13,12,29,7,10,0,2,0,0,4,0,0
"BACT162",11,5,4,1,0,0,43,38,23,18,6,0,10,6,9,6,3,0,3,0,4,7,0,0
"BACT357",0,0,4,12,17,3,7,1,2,1,12,1,2,0,0,1,2,2,2,3,2,2,3,4
"BACT273",5,1,10,11,8,1,14,4,1,2,8,1,0,2,1,2,3,0,3,4,21,8,6,0
