ASV,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_75,JUN_90,JUN_100,JUN_110,JUN_130,JUN_160,AUG_75,AUG_90,AUG_100,AUG_110,AUG_130,AUG_160,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
Zotu4364,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2923,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2980,0,0,1,0,0,0,2,0,1,4,0,0,0,0,1,0,0,0,0,1,3,5,3,0
Zotu3249,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Zotu406,0,0,1,5,33,38,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,2
Zotu2882,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu617,0,0,1,4,22,8,0,0,0,0,0,2,0,0,0,0,3,5,0,0,0,0,0,5
Zotu2046,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2942,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2079,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu1518,0,0,1,5,0,0,1,4,0,1,3,1,1,0,0,1,2,0,0,0,3,2,0,5
Zotu4016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zotu1815,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Zotu311,8,16,1,0,0,0,13,3,7,9,9,0,13,7,5,5,6,1,3,2,6,2,3,0
Zotu2084,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zotu974,2,4,1,0,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,1,2,0,0,1
Zotu4275,3,4,1,0,0,0,2,4,4,0,2,0,1,2,0,0,0,0,0,1,0,4,4,0
Zotu3933,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2888,1,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu935,4,0,1,0,4,5,2,2,3,1,0,0,0,0,3,0,1,2,0,0,2,2,1,0
Zotu1731,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
Zotu398,0,0,0,4,37,22,0,0,0,0,0,2,0,0,0,1,5,10,0,0,0,0,0,0
Zotu1460,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
Zotu942,0,0,0,4,5,1,1,0,0,3,1,0,0,1,0,0,0,2,0,0,0,2,1,0
Zotu2860,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Zotu1238,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Zotu2136,0,0,0,4,5,1,0,0,0,0,2,5,0,0,0,0,3,0,0,0,0,0,0,3
Zotu2144,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Zotu2168,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zotu3799,0,0,0,6,1,0,0,0,0,0,2,3,0,0,0,1,4,0,1,0,1,0,0,5
Zotu54,0,0,0,28,251,275,1,1,0,2,4,43,2,0,0,4,18,70,1,3,3,5,3,76
Zotu3944,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Zotu3268,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zotu3744,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Zotu2083,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Zotu1486,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zotu1369,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
Zotu2071,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1539,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Zotu2453,0,0,0,4,5,2,0,0,0,0,41,117,0,0,0,1,44,5,0,4,2,0,0,62
Zotu674,0,0,0,2,9,15,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1
Zotu1170,0,0,0,7,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
Zotu193,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Zotu1684,0,0,0,12,6,6,0,0,0,1,2,8,0,0,0,1,13,0,0,1,0,0,0,17
Zotu1658,0,0,0,6,6,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Zotu1819,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Zotu3492,0,0,0,18,0,0,1,0,1,3,6,4,0,0,0,2,27,0,0,3,6,0,0,3
Zotu3098,0,0,0,3,4,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,5
Zotu896,0,0,0,3,0,0,0,0,0,2,8,1,0,0,0,2,4,0,0,0,0,0,0,1
Zotu764,0,0,0,2,3,1,0,0,0,2,1,4,0,1,0,2,3,1,0,0,0,0,0,4
Zotu1555,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,4,0,0
Zotu4563,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0
Zotu4493,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Zotu1144,5,1,0,1,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,1,1,2,2,0
Zotu3706,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
Zotu837,0,0,0,1,16,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,3
Zotu187,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2458,0,0,0,3,19,9,0,0,0,0,4,31,0,0,0,0,13,0,0,0,0,0,0,5
Zotu793,0,0,0,3,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2715,0,0,0,2,7,2,0,0,0,1,1,11,0,0,0,0,3,0,0,0,0,0,0,1
Zotu2938,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Zotu835,0,0,0,3,3,1,0,0,0,0,1,2,0,0,1,1,8,0,1,0,2,0,0,3
Zotu431,0,1,0,1,33,19,0,0,0,0,1,2,0,0,1,2,6,7,0,0,0,0,0,5
Zotu2370,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2064,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu256,7,7,0,1,0,0,14,22,6,11,0,0,2,2,1,3,0,0,5,2,5,5,10,0
Zotu375,0,0,0,1,1,0,0,0,2,1,4,12,0,1,1,9,44,4,0,0,0,0,0,1
Zotu956,0,0,0,2,9,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
Zotu4049,0,0,0,6,2,3,0,1,2,0,10,0,0,0,0,1,8,0,1,2,0,0,0,5
Zotu75,0,0,0,19,258,79,0,1,0,1,3,35,0,1,1,5,35,66,0,4,1,0,1,53
Zotu1021,0,0,0,1,8,4,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0
Zotu844,1,3,0,1,0,0,2,3,0,0,0,0,2,6,2,3,1,0,0,1,0,0,1,0
Zotu2080,0,0,0,4,3,7,0,0,0,1,7,4,0,0,0,3,4,1,1,3,4,0,0,9
Zotu284,0,0,0,4,33,23,0,0,0,0,0,5,0,0,0,0,15,10,0,2,0,0,0,20
Zotu1770,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Zotu897,1,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zotu1360,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0
Zotu4037,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu412,0,0,0,6,35,19,0,0,0,0,0,2,0,0,0,0,2,10,0,0,0,0,0,2
Zotu3897,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu1132,0,0,0,1,10,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
Zotu92,0,0,0,20,281,177,0,0,0,0,1,77,0,0,0,6,28,95,0,0,0,1,0,60
Zotu4570,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu966,2,0,0,3,3,1,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,1,1
Zotu3850,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Zotu2066,0,1,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3306,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Zotu664,0,0,0,9,13,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2921,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1752,0,1,0,4,33,17,0,0,0,1,3,35,0,0,0,3,18,2,0,0,0,0,0,6
Zotu968,0,0,0,1,0,0,0,1,0,0,3,3,0,0,1,0,1,0,1,1,10,2,0,0
Zotu1056,0,0,0,2,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,3,2,1,0
Zotu1762,2,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0
Zotu3867,0,0,0,3,1,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Zotu307,0,0,0,2,53,26,0,0,0,0,0,7,0,0,0,0,9,9,0,0,0,1,0,9
Zotu1368,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3202,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0
Zotu61,1,0,0,5,223,142,0,0,1,1,1,27,0,0,1,4,20,54,0,1,1,0,1,22
Zotu904,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2782,0,0,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu1457,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,1,0,0,0
Zotu4040,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu967,0,0,0,2,0,0,0,1,5,2,0,0,1,0,0,0,1,0,1,0,0,2,2,0
Zotu634,0,0,0,1,19,14,0,0,0,0,1,4,0,0,0,0,1,5,0,0,0,0,0,2
Zotu570,0,0,0,6,1,0,0,2,1,2,6,17,0,1,1,4,5,0,0,0,0,0,0,3
Zotu3321,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,3,2,0,0
Zotu1691,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1173,0,0,0,3,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu269,0,0,0,1,2,6,1,0,1,5,46,37,0,0,0,0,5,0,0,2,1,0,0,6
Zotu3938,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
Zotu1444,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2
Zotu2934,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu280,0,0,0,4,40,27,0,0,0,0,0,5,0,0,0,0,6,17,0,0,0,0,0,10
Zotu621,0,0,0,3,29,5,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,1
Zotu984,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6
Zotu2929,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1185,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Zotu2054,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2936,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu420,0,0,0,1,24,17,0,1,0,0,1,3,0,0,0,0,0,10,0,0,0,0,0,3
Zotu551,0,0,0,2,28,12,0,0,0,0,0,3,0,0,0,1,9,3,0,1,1,0,0,2
Zotu810,0,0,0,2,0,2,3,1,3,2,1,0,0,0,1,0,1,0,4,1,5,3,2,1
Zotu3026,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Zotu217,0,0,0,2,62,72,0,0,0,0,0,5,0,0,0,0,4,18,0,1,0,0,0,2
Zotu3180,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Zotu2103,0,0,0,2,4,5,0,0,0,0,0,13,0,0,0,1,2,1,0,1,0,0,0,5
Zotu758,0,0,0,2,15,5,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,1
Zotu805,0,0,0,7,11,4,0,0,0,0,1,3,0,1,1,0,2,3,0,0,0,0,0,0
Zotu2840,0,0,0,2,1,0,0,0,0,0,2,21,0,0,0,0,7,2,0,1,0,0,0,12
Zotu2935,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1320,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
Zotu4022,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Zotu606,0,0,0,2,0,0,10,2,3,3,2,0,0,3,2,1,2,0,1,2,2,5,3,0
Zotu926,0,0,0,1,9,7,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1
Zotu125,0,0,0,3,8,11,0,1,0,1,0,12,0,0,0,1,4,1,0,0,0,0,0,2
Zotu3255,0,0,0,2,0,0,2,2,1,0,1,3,0,0,0,0,0,0,0,1,1,0,1,0
Zotu997,0,2,0,5,0,3,1,0,2,2,0,0,0,0,0,1,1,0,3,1,2,3,0,0
Zotu3863,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zotu2987,0,0,0,2,8,2,0,0,0,0,1,4,0,0,0,0,2,0,0,0,1,1,0,1
Zotu3710,0,0,0,7,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,2,0,0,0,3
Zotu2044,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Zotu3630,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu685,0,0,0,2,10,2,0,0,0,0,0,10,0,0,0,0,4,5,0,0,0,1,0,3
Zotu786,0,0,0,2,4,7,0,0,0,1,1,10,0,0,0,0,4,1,0,0,2,0,0,0
Zotu1644,0,0,0,3,19,14,0,0,1,1,4,44,0,0,0,1,11,1,0,0,0,0,0,9
Zotu3753,0,1,0,1,2,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zotu174,0,0,0,2,67,101,0,0,0,0,0,10,0,0,0,0,5,14,0,1,0,0,0,17
Zotu1106,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2
Zotu3675,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
Zotu988,0,0,0,1,1,3,0,0,0,0,0,4,0,0,0,1,1,1,0,0,1,1,0,8
Zotu719,0,0,0,1,15,17,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,4
Zotu304,15,9,0,1,0,0,4,1,2,5,1,0,8,5,12,5,5,3,16,3,3,6,4,0
Zotu1937,0,0,0,3,3,0,0,0,0,2,15,63,0,0,0,0,28,5,0,1,1,0,0,38
Zotu2267,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Zotu374,7,6,0,2,0,0,6,6,3,7,2,0,5,7,5,6,0,0,4,7,13,3,10,0
Zotu2694,0,0,0,2,4,2,0,0,0,2,1,6,0,0,0,1,7,14,0,2,0,0,1,6
Zotu275,0,0,0,3,43,36,0,0,0,0,0,6,0,0,0,0,5,10,0,0,0,0,0,7
Zotu392,8,6,0,1,0,0,11,5,8,5,1,0,1,6,7,2,3,1,2,2,2,3,4,1
Zotu268,0,0,0,2,51,46,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,1,0,22
Zotu572,1,4,0,1,0,0,4,0,2,4,2,0,5,2,5,4,1,0,5,0,7,1,5,0
Zotu3981,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4099,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2262,0,0,0,2,4,0,0,0,0,0,4,2,0,0,0,1,3,0,0,2,0,1,0,1
Zotu1128,0,3,0,1,0,0,0,0,2,0,1,0,1,0,3,0,0,0,0,1,1,2,1,0
Zotu4190,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0
Zotu3589,0,0,0,7,1,0,0,1,1,1,4,0,0,0,2,2,6,0,0,0,2,1,0,1
Zotu3972,0,0,0,2,8,4,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,3
Zotu1123,3,0,0,2,0,0,5,3,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Zotu2060,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Zotu2982,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zotu1168,0,0,0,2,6,0,0,0,0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,3
Zotu1683,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0
Zotu1482,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1
Zotu3486,0,0,0,1,5,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0
Zotu569,7,8,0,1,0,0,2,2,1,1,0,0,2,1,2,4,1,0,1,0,2,2,0,1
Zotu759,0,0,0,4,13,3,0,0,0,1,0,3,0,0,0,0,0,7,0,0,0,0,0,0
Zotu465,0,0,0,1,9,21,0,0,0,0,0,12,0,0,0,0,3,6,0,0,0,0,0,15
Zotu940,0,0,0,5,0,0,0,1,0,1,1,0,1,0,1,1,1,0,3,1,1,0,0,1
Zotu1005,0,0,0,2,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Zotu2917,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu598,0,3,0,1,0,0,0,0,0,1,3,0,0,1,2,5,0,0,1,7,10,1,0,0
Zotu3499,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4619,0,0,0,1,11,4,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0
Zotu1245,1,1,0,2,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zotu4005,4,1,0,2,0,0,2,1,1,0,0,0,2,0,1,0,0,0,1,1,7,3,0,0
Zotu1040,1,5,0,1,0,0,0,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,0
Zotu1420,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu478,0,0,0,2,3,3,0,0,0,0,13,28,0,0,0,0,0,0,0,1,1,0,0,18
Zotu744,0,1,0,1,0,0,3,2,0,3,0,0,2,0,1,0,0,0,0,2,1,2,1,1
Zotu885,0,0,0,1,11,6,0,0,0,0,0,3,0,0,0,0,1,6,0,0,0,0,0,5
Zotu1192,1,2,0,1,0,0,2,1,1,1,0,2,2,0,1,1,0,0,0,1,3,0,2,0
Zotu3151,2,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,1,0
Zotu2940,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1741,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,1,0
Zotu3692,0,0,0,6,1,3,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,4
Zotu775,0,0,0,1,10,7,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,1
Zotu2166,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1772,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1
Zotu3763,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1
Zotu2090,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Zotu2118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Zotu578,0,0,0,2,18,6,0,1,0,0,0,5,0,0,0,1,4,4,0,0,1,0,0,2
Zotu1116,0,0,0,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2915,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu377,0,0,0,4,38,13,0,0,0,0,0,2,0,0,0,1,3,9,0,2,0,0,0,5
Zotu2879,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu2096,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Zotu1828,0,0,0,2,1,0,1,1,4,1,0,0,1,0,0,0,1,0,0,1,2,0,0,0
Zotu870,7,5,0,3,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Zotu2880,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zotu3254,0,0,0,5,5,2,0,0,0,0,1,4,0,0,0,0,4,0,0,1,0,0,0,10
Zotu1082,0,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2877,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,2,0
Zotu825,0,0,0,2,0,0,2,3,1,4,1,0,0,0,0,1,0,0,0,0,5,2,2,0
Zotu4070,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu848,0,1,0,4,0,0,0,1,0,1,5,0,1,1,0,2,6,0,0,1,1,0,0,1
Zotu749,2,1,0,2,4,2,2,1,0,2,0,0,0,0,0,1,2,1,10,0,5,2,2,1
Zotu4071,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2925,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1344,0,0,0,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zotu773,0,1,0,1,0,0,6,7,2,1,2,0,1,0,0,3,1,0,3,2,8,6,2,0
Zotu4079,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2401,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,0,0
Zotu4103,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3053,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zotu563,0,0,0,2,11,23,0,0,0,0,0,5,0,0,0,0,3,6,0,0,0,0,0,3
Zotu2067,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1363,0,0,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu2599,0,0,0,1,0,0,2,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2
Zotu3157,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0
Zotu1124,0,0,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
Zotu1182,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
Zotu1525,0,0,0,2,1,0,4,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0
Zotu495,0,0,0,1,33,15,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
Zotu4053,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu4058,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zotu1786,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0
Zotu2714,0,0,0,3,4,2,0,0,0,0,11,56,0,0,0,1,28,7,0,4,1,0,0,23
Zotu4087,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2875,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Zotu1022,1,0,0,1,0,0,0,2,1,2,0,0,3,1,1,1,0,0,2,1,0,3,0,1
Zotu3570,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Zotu2893,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,1,3,0,0,2,2,0,0,0
Zotu1395,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Zotu3289,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4622,0,0,0,2,8,5,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2
Zotu557,0,0,0,1,22,24,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1
Zotu912,0,1,0,2,1,0,0,0,1,0,3,0,0,1,0,0,3,0,2,1,0,3,2,0
Zotu2872,0,0,0,2,4,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,8
Zotu56,1,0,0,1,0,0,0,0,0,0,0,0,240,2,271,25,1,7,0,0,0,0,0,0
Zotu228,0,1,0,3,56,33,0,0,0,0,0,6,0,0,0,0,10,18,0,0,1,0,0,14
Zotu4067,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu1110,1,1,0,1,4,4,1,0,1,4,0,2,0,1,0,0,3,0,0,0,0,1,0,1
